run,model,split,gen_time
1,CWGAN,Y1,0.21867089999999223
1,CWGAN,Y2,0.23822250000000622
1,Diffusion,Y1,0.8280244000000039
1,Diffusion,Y2,0.8406191000000263
1,RectFlow,Y1,0.7683166000000483
1,RectFlow,Y2,0.7918553999999745
2,CWGAN,Y1,0.2520418999999947
2,CWGAN,Y2,0.24080750000007356
2,Diffusion,Y1,0.8412011000000348
2,Diffusion,Y2,0.8349891000000298
2,RectFlow,Y1,0.7708968999999115
2,RectFlow,Y2,0.7831441999999242
3,CWGAN,Y1,0.23230249999994612
3,CWGAN,Y2,0.19787040000005618
3,Diffusion,Y1,0.8569876000000249
3,Diffusion,Y2,0.8400709000000006
3,RectFlow,Y1,0.7678794999999354
3,RectFlow,Y2,0.7625219999999899
4,CWGAN,Y1,0.23019750000003114
4,CWGAN,Y2,0.24440359999994143
4,Diffusion,Y1,0.8520177000000331
4,Diffusion,Y2,0.8737636000000748
4,RectFlow,Y1,0.7797093000001496
4,RectFlow,Y2,0.7643743000000995
5,CWGAN,Y1,0.23825369999985924
5,CWGAN,Y2,0.2191058000000794
5,Diffusion,Y1,0.8273999000000458
5,Diffusion,Y2,0.8441563999999744
5,RectFlow,Y1,0.7880227000000559
5,RectFlow,Y2,0.7557176000000254
6,CWGAN,Y1,0.22619880000002013
6,CWGAN,Y2,0.22917849999998907
6,Diffusion,Y1,0.8375774000001002
6,Diffusion,Y2,0.8414242000001195
6,RectFlow,Y1,0.7645061000002897
6,RectFlow,Y2,0.7773310000002311
7,CWGAN,Y1,0.2858946000001197
7,CWGAN,Y2,0.17666629999985162
7,Diffusion,Y1,0.8457508000001326
7,Diffusion,Y2,0.821932199999992
7,RectFlow,Y1,0.795321800000238
7,RectFlow,Y2,0.766345900000033
8,CWGAN,Y1,0.17689530000006926
8,CWGAN,Y2,0.25097569999979896
8,Diffusion,Y1,0.8584334000001945
8,Diffusion,Y2,0.8454960999997638
8,RectFlow,Y1,0.788210700000036
8,RectFlow,Y2,0.770171499999833
9,CWGAN,Y1,0.26479879999988043
9,CWGAN,Y2,0.19731580000006943
9,Diffusion,Y1,0.8256828999997197
9,Diffusion,Y2,0.8363414999998895
9,RectFlow,Y1,0.7677730999998857
9,RectFlow,Y2,0.7768150000001697
10,CWGAN,Y1,0.20685820000016975
10,CWGAN,Y2,0.18439149999994697
10,Diffusion,Y1,0.8405200000001969
10,Diffusion,Y2,0.852391599999919
10,RectFlow,Y1,0.764453699999649
10,RectFlow,Y2,0.7701262000000497
11,CWGAN,Y1,0.2530376999998225
11,CWGAN,Y2,0.23962639999990643
11,Diffusion,Y1,0.8297190000002956
11,Diffusion,Y2,0.8223739999998543
11,RectFlow,Y1,0.7696795000001657
11,RectFlow,Y2,0.7765711000001829
12,CWGAN,Y1,0.23000899999988178
12,CWGAN,Y2,0.22932189999983166
12,Diffusion,Y1,0.9073038999999881
12,Diffusion,Y2,0.8533693999997922
12,RectFlow,Y1,0.7710782999993171
12,RectFlow,Y2,0.7925187999999252
13,CWGAN,Y1,0.22940639999978885
13,CWGAN,Y2,0.19650349999938044
13,Diffusion,Y1,0.8493021000003864
13,Diffusion,Y2,0.8701745999997001
13,RectFlow,Y1,0.7876050999993822
13,RectFlow,Y2,0.7880206999998336
14,CWGAN,Y1,0.2643824999995559
14,CWGAN,Y2,0.20683480000025156
14,Diffusion,Y1,0.8394830999995975
14,Diffusion,Y2,0.8420981999997821
14,RectFlow,Y1,0.7875032000001738
14,RectFlow,Y2,0.7785526999996364
15,CWGAN,Y1,0.22601749999921594
15,CWGAN,Y2,0.1825277999996615
15,Diffusion,Y1,0.8475876000002245
15,Diffusion,Y2,0.8426868999995349
15,RectFlow,Y1,0.7833933000001707
15,RectFlow,Y2,0.771111000000019
16,CWGAN,Y1,0.2524831999999151
16,CWGAN,Y2,0.21443959999942308
16,Diffusion,Y1,0.841551000000436
16,Diffusion,Y2,0.8339818000004016
16,RectFlow,Y1,0.7694486000000325
16,RectFlow,Y2,0.7797717000003104
17,CWGAN,Y1,0.2371013000001767
17,CWGAN,Y2,0.19111250000059954
17,Diffusion,Y1,0.8525651999998445
17,Diffusion,Y2,0.8331174000004467
17,RectFlow,Y1,0.7736956999997346
17,RectFlow,Y2,0.7682639000004201
18,CWGAN,Y1,0.23742440000023635
18,CWGAN,Y2,0.20790729999953328
18,Diffusion,Y1,0.843784599999708
18,Diffusion,Y2,0.8544445999996242
18,RectFlow,Y1,0.7892314999999144
18,RectFlow,Y2,0.786015500000758
19,CWGAN,Y1,0.2130434000000605
19,CWGAN,Y2,0.29509280000002036
